05/17/2019-14:13:01.656750 kibana [**] /ui/favicons/apple-touch-icon.png [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48004 -> 192.168.1.130:5601
05/17/2019-14:13:01.888724 kibana [**] /plugins/timelion/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48030 -> 192.168.1.130:5601
05/17/2019-14:13:01.903796 kibana [**] /plugins/table_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48036 -> 192.168.1.130:5601
05/17/2019-14:13:01.906261 kibana [**] /plugins/status_page/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48038 -> 192.168.1.130:5601
05/17/2019-14:13:01.918428 198.168.108.119 [**] /plugins/metric_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53894 -> 192.168.1.135:80
05/17/2019-14:13:01.926888 kibana [**] /plugins/markdown_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48044 -> 192.168.1.130:5601
05/17/2019-14:13:01.929580 kibana [**] /plugins/input_control_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48048 -> 192.168.1.130:5601
05/17/2019-14:13:01.918400 kibana [**] /plugins/metric_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48042 -> 192.168.1.130:5601
05/17/2019-14:13:01.929607 198.168.108.119 [**] /plugins/input_control_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53890 -> 192.168.1.135:80
05/17/2019-14:13:01.929037 kibana [**] /plugins/inspector_views/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48046 -> 192.168.1.130:5601
05/17/2019-14:13:01.942114 198.168.108.119 [**] /bundles/vendors.bundle.js [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:01.962423 kibana [**] /bundles/vendors.bundle.js [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48050 -> 192.168.1.130:5601
05/17/2019-14:13:01.931049 kibana [**] /bundles/commons.style.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48012 -> 192.168.1.130:5601
05/17/2019-14:13:03.118545 kibana [**] /bundles/commons.bundle.js [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48056 -> 192.168.1.130:5601
05/17/2019-14:13:03.159220 192.168.1.110 [**] /_bulk [**] Manticore 0.6.4 [**] 192.168.1.120:60488 -> 192.168.1.110:9200
05/17/2019-14:13:03.203063 198.168.108.119 [**] /bundles/commons.bundle.js [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:03.308179 kibana [**] /bundles/kibana.bundle.js [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48058 -> 192.168.1.130:5601
05/17/2019-14:13:03.752663 198.168.108.119 [**] /bundles/kibana.bundle.js [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:04.167876 192.168.1.110 [**] /_bulk [**] Manticore 0.6.4 [**] 192.168.1.120:60486 -> 192.168.1.110:9200
05/17/2019-14:13:05.332327 198.168.108.119 [**] /api/console/api_server?sense_version=%40%40SENSE_VERSION&apis=es_6_0 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:05.730566 198.168.108.119 [**] /plugins/kibana/assets/discover.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:05.738424 198.168.108.119 [**] /plugins/kibana/assets/visualize.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:05.747706 198.168.108.119 [**] /plugins/timelion/icon.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:05.753991 198.168.108.119 [**] /plugins/kibana/assets/wrench.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:05.762632 198.168.108.119 [**] /plugins/kibana/assets/settings.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:05.742840 kibana [**] /plugins/kibana/assets/dashboard.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48066 -> 192.168.1.130:5601
05/17/2019-14:13:05.765926 kibana [**] /plugins/kibana/assets/play-circle.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48074 -> 192.168.1.130:5601
